Index,Value,Time,Iterations
503,632806,2.300017513334751e-06,10
504,375887,1.300009898841381e-06,9
505,146299,1.300009898841381e-06,9
506,602795,1.2998934835195541e-06,9
507,949291,1.400010660290718e-06,9
508,585444,1.400010660290718e-06,9
509,869668,1.500011421740055e-06,9
510,403690,1.400010660290718e-06,9
511,811589,4.500034265220165e-06,12
512,833186,2.200016751885414e-06,10
513,440150,1.500011421740055e-06,9
514,227367,1.1998927220702171e-06,9
515,26016,1.200009137392044e-06,9
516,520291,1.500011421740055e-06,9
517,365191,5.800044164061546e-06,13
518,698165,2.100015990436077e-06,10
519,298063,2.100015990436077e-06,10
520,192984,1.400010660290718e-06,9
521,565356,1.500011421740055e-06,9
522,391279,2.200016751885414e-06,10
523,712751,2.100015990436077e-06,10
524,448887,2.00001522898674e-06,10
525,101543,1.9000144675374031e-06,10
526,87668,1.500011421740055e-06,9
527,814203,1.300009898841381e-06,9
528,300953,1.400010660290718e-06,9
529,981819,2.00001522898674e-06,10
530,959059,1.200009137392044e-06,9
531,979726,1.200009137392044e-06,9
532,102094,1.400010660290718e-06,9
533,213280,3.600027412176132e-06,11
534,833718,1.300009898841381e-06,9
535,187712,1.500011421740055e-06,9
536,723632,3.300025127828121e-06,11
537,861490,7.1999384090304375e-06,14
538,546545,1.500011421740055e-06,9
539,805782,2.100015990436077e-06,10
540,682596,1.300009898841381e-06,9
541,212733,1.2998934835195541e-06,9
542,86846,2.100015990436077e-06,10
543,159230,1.400010660290718e-06,9
544,346580,1.200009137392044e-06,9
545,87653,1.300009898841381e-06,9
546,837638,3.100023604929447e-06,11
547,80583,1.200009137392044e-06,9
548,458243,2.100015990436077e-06,10
549,944880,1.300009898841381e-06,9
550,864746,1.1998927220702171e-06,9
551,824708,1.200009137392044e-06,9
552,121543,2.100015990436077e-06,10
553,211841,2.00001522898674e-06,10
554,529869,1.999898813664913e-06,10
555,339357,1.300009898841381e-06,9
556,344834,4.600035026669502e-06,12
557,525352,3.300025127828121e-06,11
558,672257,1.300009898841381e-06,9
559,971480,1.300009898841381e-06,9
560,246289,1.200009137392044e-06,9
561,724395,1.300009898841381e-06,9
562,828575,2.199900336563587e-06,10
563,681881,1.300009898841381e-06,9
564,775807,1.200009137392044e-06,9
565,968617,1.200009137392044e-06,9
566,140390,6.5999338403344154e-06,14
567,368523,1.300009898841381e-06,9
568,232823,1.300009898841381e-06,9
569,759374,1.300009898841381e-06,9
570,373780,2.199900336563587e-06,10
571,146784,1.500011421740055e-06,9
572,592113,1.300009898841381e-06,9
573,951298,1.400010660290718e-06,9
574,308612,1.300009898841381e-06,9
575,330183,1.2998934835195541e-06,9
576,782021,3.500026650726795e-06,11
577,942582,2.400018274784088e-06,10
578,979927,4.399917088449001e-06,11
579,327704,2.300017513334751e-06,10
580,161749,3.600027412176132e-06,11
581,923122,1.300009898841381e-06,9
582,510070,1.500011421740055e-06,9
583,808420,1.400010660290718e-06,9
584,808234,3.600027412176132e-06,11
585,888973,3.5999109968543053e-06,11
586,612327,2.400018274784088e-06,10
587,622808,2.300017513334751e-06,10
588,248110,3.4999102354049683e-06,11
589,423324,1.300009898841381e-06,9
590,337740,2.400018274784088e-06,10
591,843172,1.300009898841381e-06,9
592,436336,1.1998927220702171e-06,9
593,131969,2.300017513334751e-06,10
594,104211,1.300009898841381e-06,9
595,57481,1.400010660290718e-06,9
596,304402,2.100015990436077e-06,10
597,43331,1.400010660290718e-06,9
598,859830,3.600027412176132e-06,10
599,836565,1.500011421740055e-06,9
600,794925,2.00001522898674e-06,10
601,780397,1.300009898841381e-06,9
602,501572,1.200009137392044e-06,9
603,89860,1.300009898841381e-06,9
604,132007,1.200009137392044e-06,9
605,937974,1.2998934835195541e-06,9
606,577296,2.300017513334751e-06,10
607,493323,2.300017513334751e-06,10
608,383860,1.400010660290718e-06,9
609,725840,1.300009898841381e-06,9
610,342903,1.300009898841381e-06,9
611,85552,1.300009898841381e-06,9
612,882987,1.200009137392044e-06,9
613,908644,1.300009898841381e-06,9
614,733893,5.799927748739719e-06,12
615,595511,3.8000289350748062e-06,11
616,597060,1.300009898841381e-06,9
617,2037,1.1998927220702171e-06,9
618,847992,6.00004568696022e-06,13
619,843838,2.200016751885414e-06,10
620,748046,1.2998934835195541e-06,9
621,295910,8.800067007541656e-06,16
622,955373,1.600012183189392e-06,10
623,526776,1.400010660290718e-06,10
624,677552,2.200016751885414e-06,11
625,707550,1.400010660290718e-06,10
626,126321,1.500011421740055e-06,10
627,885806,2.199900336563587e-06,11
628,833668,3.400025889277458e-06,12
629,813152,2.300017513334751e-06,11
630,286988,1.600012183189392e-06,10
631,191356,2.500019036233425e-06,11
632,909303,3.500026650726795e-06,11
633,89764,4.999921657145023e-06,12
634,754048,1.400010660290718e-06,10
635,538652,1.500011421740055e-06,10
636,217526,1.400010660290718e-06,10
637,780531,3.4999102354049683e-06,11
638,508063,2.300017513334751e-06,11
639,611153,9.09995287656784e-06,13
640,88906,6.700051017105579e-06,12
641,257336,3.300025127828121e-06,10
642,562523,2.600019797682762e-06,10
643,673404,2.600019797682762e-06,10
644,685465,6.800051778554916e-06,12
645,681980,7.00005330145359e-06,12
646,12465,4.799920134246349e-06,11
647,354603,1.500011421740055e-06,10
648,560563,3.8000289350748062e-06,12
649,534988,1.400010660290718e-06,10
650,243983,1.400010660290718e-06,10
651,608332,1.400010660290718e-06,10
652,712881,1.300009898841381e-06,10
653,119232,6.4999330788850784e-06,14
654,346032,1.600012183189392e-06,10
655,683344,1.400010660290718e-06,10
656,788774,1.400010660290718e-06,10
657,667171,2.800021320581436e-06,10
658,562520,2.700020559132099e-06,11
659,888375,1.400010660290718e-06,10
660,907644,1.300009898841381e-06,10
661,129932,1.300009898841381e-06,10
662,212600,1.300009898841381e-06,10
663,331615,1.300009898841381e-06,10
664,273190,2.00001522898674e-06,10
665,968235,2.300017513334751e-06,11
666,590310,1.400010660290718e-06,10
667,974195,2.100015990436077e-06,11
668,124526,1.300009898841381e-06,10
669,411432,2.00001522898674e-06,11
670,133947,1.300009898841381e-06,10
671,20132,1.300009898841381e-06,10
672,699323,1.400010660290718e-06,10
673,279285,5.899928510189056e-06,13
674,334268,3.600027412176132e-06,12
675,237993,1.500011421740055e-06,10
676,858765,1.4998950064182281e-06,10
677,463298,1.400010660290718e-06,10
678,808436,1.400010660290718e-06,10
679,128874,3.100023604929447e-06,12
680,835821,2.09989957511425e-06,11
681,172843,3.400025889277458e-06,11
682,445751,1.700012944638729e-06,10
683,488656,1.600012183189392e-06,10
684,812304,1.500011421740055e-06,10
685,325720,2.200016751885414e-06,11
686,318095,3.300025127828121e-06,12
687,541035,2.100015990436077e-06,11
688,562403,1.500011421740055e-06,10
689,288259,2.500019036233425e-06,10
690,938003,3.700028173625469e-06,12
691,461127,3.400025889277458e-06,12
692,7490,1.4998950064182281e-06,10
693,273662,3.200024366378784e-06,12
694,160670,1.400010660290718e-06,10
695,821059,1.300009898841381e-06,10
696,136577,1.200009137392044e-06,10
697,702388,1.400010660290718e-06,10
698,703601,4.400033503770828e-06,13
699,411231,1.400010660290718e-06,10
700,423523,2.09989957511425e-06,11
701,829952,1.300009898841381e-06,10
702,758737,4.00003045797348e-06,12
703,51200,1.400010660290718e-06,10
704,6675,4.799920134246349e-06,12
705,88741,1.400010660290718e-06,10
706,96851,2.300017513334751e-06,11
707,78835,2.399901859462261e-06,11
708,888739,1.400010660290718e-06,10
709,712726,1.400010660290718e-06,10
710,438282,3.500026650726795e-06,12
711,888090,5.299923941493034e-06,13
712,131390,1.600012183189392e-06,10
713,758091,1.600012183189392e-06,10
714,635587,1.400010660290718e-06,10
715,937986,1.500011421740055e-06,10
716,478086,2.200016751885414e-06,11
