Index,Value,Time,Iterations
487,829510,2.700020559132099e-06,12
488,541458,3.100023604929447e-06,13
489,894704,2.100015990436077e-06,12
490,610785,3.6999117583036423e-06,16
491,486498,3.500026650726795e-06,16
492,220951,2.900022082030773e-06,14
493,601801,2.299901098012924e-06,10
494,403329,2.500019036233425e-06,12
495,392041,3.100023604929447e-06,14
496,472208,2.599903382360935e-06,13
497,728553,3.500026650726795e-06,16
498,638068,5.700043402612209e-06,20
499,48528,2.300017513334751e-06,12
500,191734,2.800021320581436e-06,14
501,759854,3.200024366378784e-06,9
502,917093,2.499902620911598e-06,12
503,721810,3.700028173625469e-06,15
504,511738,2.700020559132099e-06,12
505,498517,3.2999087125062943e-06,14
506,271638,2.300017513334751e-06,11
507,758091,2.300017513334751e-06,10
508,879975,3.0999071896076202e-06,14
509,533924,2.800021320581436e-06,12
510,685341,2.400018274784088e-06,12
511,774497,3.00002284348011e-06,14
512,246487,3.00002284348011e-06,12
513,788650,3.200024366378784e-06,14
514,39090,2.700020559132099e-06,12
515,197039,5.200039595365524e-06,20
516,698816,2.400018274784088e-06,12
517,200364,2.599903382360935e-06,11
518,335481,2.500019036233425e-06,12
519,512229,7.300055585801601e-06,24
520,382153,3.700028173625469e-06,16
521,232107,6.100046448409557e-06,20
522,612524,2.299901098012924e-06,11
523,205568,2.300017513334751e-06,12
524,793012,3.500026650726795e-06,14
525,142016,2.7999049052596092e-06,14
526,579797,2.800021320581436e-06,12
527,158198,6.00004568696022e-06,21
528,439596,3.500026650726795e-06,14
529,364826,2.00001522898674e-06,9
530,829863,4.300032742321491e-06,16
531,720882,3.900029696524143e-06,15
532,918350,3.100023604929447e-06,12
533,274882,2.7999049052596092e-06,11
534,48947,2.400018274784088e-06,11
535,692371,2.200016751885414e-06,10
536,224346,2.00001522898674e-06,11
537,411432,2.800021320581436e-06,14
538,719617,2.200016751885414e-06,12
539,434413,2.900022082030773e-06,14
540,56515,2.6999041438102722e-06,14
541,619075,2.500019036233425e-06,12
542,947674,4.300032742321491e-06,18
543,755022,3.4999102354049683e-06,14
544,688487,3.300025127828121e-06,14
545,442596,2.300017513334751e-06,12
546,150704,1.999898813664913e-06,12
547,710046,3.900029696524143e-06,18
548,473197,4.00003045797348e-06,18
549,293779,3.6999117583036423e-06,14
550,153861,2.200016751885414e-06,11
551,670989,2.600019797682762e-06,12
552,382500,2.7999049052596092e-06,14
553,546455,3.300025127828121e-06,14
554,56880,2.800021320581436e-06,14
555,602854,2.600019797682762e-06,12
556,108131,2.300017513334751e-06,12
557,990762,2.600019797682762e-06,14
558,847743,2.300017513334751e-06,11
559,901087,2.599903382360935e-06,14
560,697326,2.400018274784088e-06,12
561,638245,2.00001522898674e-06,12
562,487787,4.899920895695686e-06,18
563,417563,4.100031219422817e-06,15
564,499821,3.00002284348011e-06,13
565,196022,2.199900336563587e-06,12
566,249758,3.200024366378784e-06,14
567,182237,4.300032742321491e-06,18
568,409826,1.999898813664913e-06,12
569,287530,3.900029696524143e-06,15
570,67675,2.500019036233425e-06,12
571,349352,2.599903382360935e-06,14
572,380592,5.300040356814861e-06,20
573,928239,5.299923941493034e-06,20
574,957322,2.800021320581436e-06,13
575,920553,3.00002284348011e-06,14
576,957958,2.100015990436077e-06,12
577,61320,2.200016751885414e-06,12
578,225264,2.100015990436077e-06,11
579,411735,3.00002284348011e-06,14
580,603591,3.4999102354049683e-06,13
581,650981,2.500019036233425e-06,10
582,286431,4.200031980872154e-06,16
583,510070,2.399901859462261e-06,12
584,584518,4.100031219422817e-06,16
585,688608,4.400033503770828e-06,17
586,547914,2.00001522898674e-06,10
587,621647,2.500019036233425e-06,14
588,184519,2.200016751885414e-06,8
589,558753,2.199900336563587e-06,12
590,898016,2.400018274784088e-06,11
591,393785,3.00002284348011e-06,14
592,810406,3.5999109968543053e-06,14
593,243647,3.00002284348011e-06,14
594,604815,2.200016751885414e-06,12
595,920969,6.299931555986404e-06,22
596,793539,2.300017513334751e-06,12
597,790248,2.700020559132099e-06,12
598,418987,2.499902620911598e-06,14
599,105992,3.600027412176132e-06,14
600,775639,1.800013706088066e-06,8
601,793620,2.00001522898674e-06,11
602,925806,2.400018274784088e-06,12
603,363250,2.300017513334751e-06,12
604,954963,2.600019797682762e-06,14
605,725997,2.9999064281582832e-06,14
606,440700,2.300017513334751e-06,12
607,413844,2.100015990436077e-06,8
608,652211,2.700020559132099e-06,12
609,359945,3.700028173625469e-06,14
610,263845,3.200024366378784e-06,14
611,985138,3.300025127828121e-06,14
612,981177,3.100023604929447e-06,14
613,270720,3.400025889277458e-06,14
614,859830,2.700020559132099e-06,13
615,787853,3.400025889277458e-06,14
616,282329,3.500026650726795e-06,14
617,14397,3.3999094739556313e-06,15
618,204430,3.100023604929447e-06,14
619,91335,2.700020559132099e-06,14
620,457028,4.09991480410099e-06,16
621,65533,3.600027412176132e-06,16
622,703745,2.400018274784088e-06,12
623,762636,3.2999087125062943e-06,14
624,964895,2.300017513334751e-06,12
625,694160,3.400025889277458e-06,14
626,145217,2.500019036233425e-06,13
627,697894,3.100023604929447e-06,11
628,139416,4.200031980872154e-06,16
629,542615,2.400018274784088e-06,12
630,690634,2.400018274784088e-06,12
631,168863,2.300017513334751e-06,12
632,502868,2.300017513334751e-06,12
633,844675,2.399901859462261e-06,12
634,289394,5.200039595365524e-06,13
635,946471,2.700020559132099e-06,12
636,645098,2.399901859462261e-06,12
637,355285,2.600019797682762e-06,12
638,863021,2.200016751885414e-06,12
639,383199,5.599926225841045e-06,20
640,596754,2.600019797682762e-06,12
641,402758,2.300017513334751e-06,10
642,739665,3.1999079510569572e-06,13
643,339357,2.500019036233425e-06,11
644,114961,3.500026650726795e-06,14
645,807703,4.299916326999664e-06,16
646,243089,3.100023604929447e-06,14
647,344571,4.300032742321491e-06,18
648,220818,3.00002284348011e-06,14
649,341546,3.400025889277458e-06,15
650,349262,2.800021320581436e-06,14
651,424214,2.800021320581436e-06,12
652,885947,2.900022082030773e-06,14
653,253959,2.400018274784088e-06,11
654,279940,1.999898813664913e-06,9
655,321377,2.600019797682762e-06,10
656,457484,3.100023604929447e-06,14
657,951966,3.1999079510569572e-06,14
658,403251,2.100015990436077e-06,12
659,851516,2.800021320581436e-06,12
660,995600,3.300025127828121e-06,14
661,836309,2.400018274784088e-06,12
662,313027,3.600027412176132e-06,14
663,158475,2.800021320581436e-06,14
664,215066,3.400025889277458e-06,14
665,659743,2.300017513334751e-06,10
666,687410,3.600027412176132e-06,14
667,942676,2.300017513334751e-06,12
668,550709,3.900029696524143e-06,13
669,501898,4.399917088449001e-06,12
670,31156,3.700028173625469e-06,14
671,224917,3.100023604929447e-06,11
672,494889,2.800021320581436e-06,12
673,724256,2.300017513334751e-06,12
674,383860,3.700028173625469e-06,14
675,36887,2.200016751885414e-06,12
676,414349,3.8000289350748062e-06,16
677,652863,4.00003045797348e-06,16
678,219231,3.300025127828121e-06,14
679,559336,3.8000289350748062e-06,16
680,30745,2.300017513334751e-06,9
681,798038,2.400018274784088e-06,10
682,135649,3.00002284348011e-06,13
683,932596,3.600027412176132e-06,15
684,264365,2.400018274784088e-06,12
685,513257,4.100031219422817e-06,16
686,680694,4.299916326999664e-06,18
687,233173,3.200024366378784e-06,13
688,885148,3.600027412176132e-06,14
689,938003,2.6999041438102722e-06,10
690,396470,4.400033503770828e-06,18
691,536235,2.100015990436077e-06,12
692,407549,3.2999087125062943e-06,14
693,723908,2.500019036233425e-06,12
694,940420,2.600019797682762e-06,12
695,725405,3.1999079510569572e-06,13
696,87653,3.300025127828121e-06,14
697,981133,5.800044164061546e-06,20
698,117333,2.600019797682762e-06,11
699,123539,2.300017513334751e-06,10
700,907439,2.700020559132099e-06,12
701,527032,3.0999071896076202e-06,14
702,708505,6.100046448409557e-06,22
703,942623,3.200024366378784e-06,14
704,115225,2.600019797682762e-06,14
705,31255,4.800036549568176e-06,20
706,118079,2.8999056667089462e-06,11
707,742372,4.900037311017513e-06,18
708,30348,3.100023604929447e-06,14
709,947465,2.00001522898674e-06,10
710,336954,2.400018274784088e-06,12
711,814720,2.600019797682762e-06,12
712,89784,4.199915565550327e-06,16
713,717814,2.500019036233425e-06,12
714,257809,2.800021320581436e-06,14
715,582763,3.3999094739556313e-06,15
716,482161,2.500019036233425e-06,11
717,443995,2.600019797682762e-06,12
718,39095,2.6999041438102722e-06,12
719,873369,4.600035026669502e-06,16
720,579393,3.200024366378784e-06,14
721,567512,3.3999094739556313e-06,14
722,833798,2.800021320581436e-06,12
723,872076,2.900022082030773e-06,13
724,906228,2.6999041438102722e-06,13
725,740110,2.600019797682762e-06,12
726,322580,2.400018274784088e-06,12
727,525099,2.700020559132099e-06,12
728,934787,5.100038833916187e-06,18
729,413568,2.500019036233425e-06,11
730,148257,3.3999094739556313e-06,14
731,521372,2.300017513334751e-06,10
732,205618,2.800021320581436e-06,14
733,583841,6.4999330788850784e-06,20
734,602546,2.500019036233425e-06,12
735,211505,3.3999094739556313e-06,14
736,412013,4.100031219422817e-06,16
737,218952,3.00002284348011e-06,14
738,480504,2.7999049052596092e-06,12
739,809722,3.900029696524143e-06,16
740,194338,2.500019036233425e-06,12
741,526473,3.1999079510569572e-06,14
742,611687,2.400018274784088e-06,12
743,774686,3.900029696524143e-06,15
744,931724,3.5999109968543053e-06,14
745,56628,2.800021320581436e-06,14
746,923927,3.8000289350748062e-06,16
747,31752,2.8999056667089462e-06,13
748,462620,2.400018274784088e-06,12
749,717203,2.200016751885414e-06,12
750,234183,2.200016751885414e-06,12
751,909207,2.300017513334751e-06,12
752,245672,2.700020559132099e-06,14
753,505573,3.00002284348011e-06,11
754,991073,3.700028173625469e-06,16
755,109380,2.400018274784088e-06,12
756,424370,5.699926987290382e-06,18
757,468752,2.600019797682762e-06,12
758,621597,4.200031980872154e-06,15
759,968393,2.299901098012924e-06,12
760,919753,2.200016751885414e-06,12
761,650644,3.500026650726795e-06,14
762,72283,3.4999102354049683e-06,11
763,755303,3.500026650726795e-06,14
764,260263,2.400018274784088e-06,14
765,4790,2.200016751885414e-06,10
766,221299,2.500019036233425e-06,13
767,319768,2.300017513334751e-06,12
768,586938,3.300025127828121e-06,14
